id,name,description,category,therapeuticArea,prevalence,unmetNeedIndex,keyUnmetNeeds,wikipediaUrl,medlineUrl,opentargetsUrl,omimUrl,nordUrl,clinicalTrialsUrl,leadingPagWebsiteUs,keyCompanies,guidelineDrugs,pipelineActivity,scores.burdenUntreated,scores.burdenTreated,scores.safetyTolerability,scores.convenienceAdministration
sinonasal-inverted-papilloma,Sinonasal inverted papilloma,"Rare Schneiderian mucosa tumor of the nasal cavity and paranasal sinuses, typically in men in their 50s to 60s, causing unilateral nasal obstruction, rhinorrhea and epistaxis. Standard care is endoscopic resection, but recurrence around 2 years is common and can be clinically silent, and 5% to 15% transform malignantly, driving prolonged surveillance and repeat procedures. Key unmet needs are better risk stratification and adjuvant or downstaging options to prevent recurrence and malignant transformation, potentially guided by biomarkers such as epidermal growth factor receptor exon 20 insertions.",Otorhinolaryngology,Otorhinolaryngology,Ultra-Orphan,2.226,"- Post-resection adjuvant intranasal/systemic therapy to reduce local recurrence (~15–16.5% at ~22–24 months) and lessen reliance on long-term endoscopic surveillance for often-asymptomatic recurrence
- Neoadjuvant/downstaging medical therapy for complex SNIP (extensive frontal/maxillary disease or extra-sinus extension) to enable complete endoscopic resection and avoid open/combined approaches
- Biomarker-driven chemoprevention/targeted systemic therapy for the ~5–15% malignant-transformation-risk subset (e.g., EGFR Ex20ins–linked SNIP-associated SNSCC) to prevent escalation to wider resection plus chemo/radiation",https://en.wikipedia.org/wiki/Inverted_papilloma,https://medlineplus.gov/nasalcancer.html,https://platform.opentargets.org/disease/MONDO_0002537,,https://rarediseases.org/mondo-disease/sphenoid-sinus-inverted-papilloma/,https://clinicaltrials.gov/search?cond=%22Inverted%20Papilloma%22,,,,7,3,1,2,3
hemophilia-a,Hemophilia A,"Hemophilia A is an inherited factor VIII deficiency that causes poor clotting and early procedure related bleeding, then recurrent joint bleeds leading to chronic pain and arthropathy. Prophylaxis with intravenous factor VIII or subcutaneous emicizumab has improved control, but factor VIII inhibitors can make bleeding and surgery hard to manage, and breakthrough bleeds still occur with limited and sometimes thrombotic rescue options. The push is toward more durable, lower burden correction of clotting, though current gene therapy is one time and limited to antibody negative adults.",Hematology,Hematology,Rare,3.019,"- True bleed-free prophylaxis (ABR≈0 for all bleeds) in severe pediatric Hemophilia A, especially infants
- FVIII inhibitor prevention/eradication and safer bleed-treatment options for inhibitor patients on emicizumab that avoid high-dose aPCC–associated TMA/TE risk
- More durable, broadly eligible, re-doseable/non-AAV gene-based FVIII restoration beyond adults-only/AAV5-Ab–negative patients, with less immunosuppression/monitoring burden",https://en.wikipedia.org/wiki/Haemophilia_A,https://medlineplus.gov/ency/article/000538.htm,https://platform.opentargets.org/disease/MONDO_0010602,https://omim.org/entry/306700,https://rarediseases.org/rare-diseases/hemophilia-a/,https://clinicaltrials.gov/search?cond=Hemophilia%20A,https://www.bleeding.org/,[object Object],[object Object],6,6,2,3,3
gastric-antral-vascular-ectasia,Gastric antral vascular ectasia,"Gastric antral vascular ectasia, or watermelon stomach, is a vascular malformation in the gastric antrum that causes chronic upper gastrointestinal bleeding and iron deficiency anemia that can become transfusion dependent, typically in older adults. Treatment relies on repeated endoscopic argon plasma coagulation, but responses are often incomplete and recurrence is common, leaving patients cycling through procedures, iron replacement, and transfusions. Drug options are limited by thin evidence and safety concerns such as thromboembolism, creating demand for durable, safer outpatient medical therapies that prevent recurrent bleeding.",Gastroenterology,Gastroenterology,Rare,3.793,"- Pharmacologic therapy that provides durable lesion eradication/hemostasis vs APC, reducing repeat endoscopy and recurrence.
- Oral/long-acting anti-angiogenic drug for cirrhosis-associated GAVE to improve hemoglobin and cut PRBC transfusion dependence.
- Safer, evidence-based outpatient medical option for refractory GAVE that avoids thrombotic toxicity (e.g., seen with tranexamic acid) and reduces need for high-risk rescue interventions.",https://en.wikipedia.org/wiki/Gastric_antral_vascular_ectasia,https://medlineplus.gov/gastrointestinalbleeding.html,https://platform.opentargets.org/disease/EFO_1000945,https://omim.org/search?index=entry&sort=score+desc%2C+prefix_sort+desc&start=1&limit=10&search=Gastric+antral+vascular+ectasia,https://rarediseases.org/rare-diseases/systemic-scleroderma/,https://clinicaltrials.gov/search?cond=%22Gastric+antral+vascular+ectasia%22+OR+%22watermelon+stomach%22,,,,7,4,3,3,5
migraine-familial-hemiplegic,Migraine | familial hemiplegic,"Familial hemiplegic migraine is a rare inherited, early onset migraine with stroke like attacks marked by reversible one sided weakness plus speech and cognitive symptoms, driven by ion channel and transporter gene mutations that disrupt neuronal signaling. Care is largely symptomatic and constrained because vasoconstrictive abortives such as triptans and ergotamines are usually avoided, and severe attacks can require hospitalization. Key unmet needs are safer nonvasoconstrictive acute therapies and more effective prevention, especially for patients with early onset severe disease at risk of seizures or coma.",Neurology,Neurology,Rare,3.114,"- Non‑vasoconstrictive acute therapy that reliably aborts hemiparesis/motor aura to reduce stroke‑mimic ED/hospitalization.
- Adolescent‑suitable preventive that lowers monthly moderate/severe headache days and hemiplegic‑aura episodes without topiramate‑like cognitive AEs or valproate reproductive restrictions (incl. CGRP‑pathway options).
- Genotype-/severity‑guided therapy (CACNA1A/ATP1A2/SCN1A) to prevent severe encephalopathic attacks with seizures/coma and prolonged deficits.",https://en.wikipedia.org/wiki/Familial_hemiplegic_migraine,https://medlineplus.gov/genetics/condition/familial-hemiplegic-migraine/,https://platform.opentargets.org/disease/MONDO_0000700,https://www.omim.org/phenotypicSeries/PS141500,https://rarediseases.org/rare-diseases/hemiplegic-migraine/,https://clinicaltrials.gov/search?cond=%22Familial%20hemiplegic%20migraine%22,https://www.cacna1a.org/,[object Object],[object Object],7,3,2,5,3
glioblastoma-classical,Glioblastoma | classical,"Classical glioblastoma is a World Health Organization grade IV, highly invasive brain cancer typically diagnosed around age 64, presenting with headaches, seizures, cognitive decline, and focal neurologic deficits. Even with maximal safe surgery plus radiotherapy and temozolomide, median survival is ~15 months and recurrence is common, driven by infiltrative growth, tumor heterogeneity, and the blood brain barrier. Resistance is frequent, especially with unmethylated O6-methylguanine-DNA methyltransferase undermining temozolomide, and tumor treating fields add substantial daily burden requiring near continuous wear and frequent scalp array changes.",Oncology,Oncology,Ultra-Orphan,5.074,"- Intracranial EGFR-pathway therapy that overcomes EGFR clonal heterogeneity and BBB limitations in classical/EGFR-driven GBM and improves survival.
- MGMT-unmethylated GBM control with TMZ-sparing/MGMT-independent activity for patients unlikely to benefit from temozolomide chemoradiation.
- Comparable-or-better efficacy with lower treatment burden than current multimodality care (6-week RT+TMZ monitoring/prophylaxis and/or TTFields ≥18h/day with frequent array changes).",https://en.wikipedia.org/wiki/Glioblastoma,https://medlineplus.gov/braintumors.html,https://platform.opentargets.org/disease/EFO_0000519,https://omim.org/entry/137800,https://rarediseases.org/rare-diseases/glioblastoma-multiforme/,https://clinicaltrials.gov/search?cond=Glioblastoma&term=classical,https://www.braintumor.org,[object Object],[object Object],6,7,6,4,6
glioblastoma-proneural,Glioblastoma | proneural,"Glioblastoma is a fast growing, highly aggressive adult brain tumor that rapidly causes neurologic deficits such as headaches, seizures, weakness, language impairment, confusion, and personality change. Treatment is limited by infiltrative tentacle like growth that prevents complete surgical removal and by the blood brain barrier that restricts durable drug exposure. Outcomes remain poor, especially for patients without MGMT promoter methylation who derive less benefit from temozolomide, and widespread dexamethasone use to control edema can blunt immunotherapy efficacy, creating demand for brain penetrant, margin reaching, molecularly matched, steroid sparing approaches.",Oncology,Oncology,Ultra-Orphan,5.009,"- Overall-survival–improving alternative to RT+temozolomide for newly diagnosed **MGMT-unmethylated** GBM.
- **CNS-penetrant**, molecularly matched **PDGFRA/IDH1** therapy for proneural GBM that also reaches infiltrative tumor margins.
- **Steroid- and lymphopenia-sparing** regimens (edema control + backbone) that enable effective immunotherapy combinations.",https://en.wikipedia.org/wiki/Glioblastoma,https://medlineplus.gov/braintumors.html,https://platform.opentargets.org/disease/MONDO_0000458,https://omim.org/entry/137800,https://rarediseases.org/rare-diseases/glioblastoma-multiforme/,https://clinicaltrials.gov/search?cond=Glioblastoma&term=proneural,https://braintumor.org/,[object Object],[object Object],6,7,6,4,6
familial-hypocalciuric-hypercalcemia,Familial hypocalciuric hypercalcemia,"Familial hypocalciuric hypercalcemia is an inherited calcium sensing disorder with lifelong mild hypercalcemia and low urine calcium, usually found incidentally and often asymptomatic. The key unmet need is accurate diagnosis to avoid mislabeling as primary hyperparathyroidism and unnecessary parathyroid surgery. A minority develop complications such as pancreatitis, chondrocalcinosis, or vascular calcification, and AP2S1 related type 3 can carry a meaningful neurodevelopmental burden in children. When intervention is required, available options are off label and not well suited to lifelong management.",Endocrinology,Endocrinology,Rare,2.233,"- FDA-approved CaSR-pathway therapy for symptomatic/marked hypercalcemia in FHH (e.g., Ca >1 mg/dL above normal) or arrhythmia-risk patients
- Therapies for pediatric FHH3 (AP2S1) that improve neurocognitive symptoms and prevent bone-density loss beyond normalizing serum calcium/PTH
- Durable, low-burden chronic regimens that avoid repetitive bisphosphonate dosing and reduce long-term calcimimetic barriers (indefinite treatment/cost)",https://en.wikipedia.org/wiki/Familial_hypocalciuric_hypercalcemia,https://medlineplus.gov/genetics/gene/casr/,https://platform.opentargets.org/disease/MONDO_0018458,https://www.omim.org/entry/145980,https://rarediseases.org/mondo-disease/familial-hypocalciuric-hypercalcemia-1/,https://clinicaltrials.gov/search?cond=Familial%20Hypocalciuric%20Hypercalcemia,https://rarediseases.org/,,,7,1,1,0,1
familial-multiple-nevi-flammei,Familial multiple nevi flammei,"Autosomal dominant capillary malformation causing multiple congenital port wine stains, often on the head and neck, that can darken and thicken into hypertrophic or nodular lesions with age and sometimes bleed after minor trauma. Care is largely cosmetic and burdensome, relying on repeated pulsed dye laser sessions that may require general anesthesia in children, with incomplete and often non durable clearance due to vascular regrowth and redarkening, leaving need for more durable, disease modifying approaches.",Dermatology,Dermatology,Uncommon,2.845,"- Consistently effective drug adjunct to pulsed dye laser that suppresses post-laser revascularization/neoangiogenesis to increase durable clearance.
- Early-life disease-modifying topical/systemic therapy to prevent progression to thickened, nodular/hypertrophic, treatment-refractory lesions.
- Home-administrable medical alternative/maintenance to reduce total clinic laser sessions and need for pediatric general anesthesia/sedation while preserving cosmetic outcomes.",https://en.wikipedia.org/wiki/Port-wine_stain,https://medlineplus.gov/ency/article/001475.htm,https://platform.opentargets.org/disease/MONDO_0008094,https://omim.org/entry/163000,,https://clinicaltrials.gov/search?cond=Familial%20multiple%20nevi%20flammei%20OR%20Port-wine%20stain%20OR%20Capillary%20malformation,https://birthmark.org/,[object Object],,7,2,1,3,4
galactose-epimerase-deficiency,Galactose epimerase deficiency,"Galactose epimerase deficiency is a rare inherited galactosemia caused by reduced UDP galactose 4 epimerase activity, leading to toxic galactose metabolite buildup that can cause neonatal illness on milk with liver, kidney, brain, and eye damage. Newborn screening often detects it early and severity ranges from mild peripheral to severe generalized disease. Diet restriction prevents acute crises but does not reliably prevent longer term neurodevelopmental impairment, and intermediate cases have uncertain prognosis, driving need for disease modifying GALE restoring therapies and better biomarkers to tailor lifelong dietary restriction.",Endocrinology,Endocrinology,Rare,1.524,"- Disease-modifying therapy for generalized GALE deficiency that prevents developmental delay/learning impairment not prevented by galactose/lactose restriction.
- GALE enzyme-restoration (e.g., gene/enzyme/chaperone) enabling normal milk/dairy intake and eliminating lifelong restrictive diets/special formulas in generalized disease.
- Biomarker-guided pharmacologic management for intermediate GALE to prevent possible learning impairment/cataracts while allowing less restrictive dietary management.",https://en.wikipedia.org/wiki/Galactose_epimerase_deficiency,https://medlineplus.gov/genetics/condition/galactosemia/,https://platform.opentargets.org/disease/MONDO_0009257,https://omim.org/entry/230350,https://rarediseases.org/mondo-disease/galactose-epimerase-deficiency/,https://clinicaltrials.gov/search?cond=Galactose%20epimerase%20deficiency,https://galactosemia.org/,,[object Object],7,1,0,2,1
galactosemia,Galactosemia,"Classic galactosemia is an inherited inability to metabolize galactose that can cause a life threatening newborn crisis after milk feeds begin, including jaundice, liver failure, Escherichia coli sepsis, and cataracts. Early lactose restriction prevents many acute deaths, but patients still face long term neurodevelopmental, speech, and motor impairments, and most females develop premature ovarian insufficiency. With no approved therapies and diet alone limited by endogenous galactose production, the key unmet need is disease modifying metabolite lowering treatment that improves lifelong outcomes.",Endocrinology,Endocrinology,Rare,3.435,"- Therapy to prevent/meaningfully improve persistent neurodevelopmental, speech (apraxia/dysarthria), and motor deficits despite early dietary restriction.
- Ovary-protective therapy to prevent/ameliorate premature ovarian insufficiency/hypergonadotropic hypogonadism in females.
- Oral metabolite-lowering/substrate-reduction therapy to reduce endogenous-galactose–driven toxic metabolites (e.g., galactitol), enabling safer diet liberalization and lower management burden.",https://en.wikipedia.org/wiki/Galactosemia,https://medlineplus.gov/genetics/condition/galactosemia/,https://platform.opentargets.org/disease/MONDO_0018116,https://omim.org/phenotypicSeries/PS230400,https://rarediseases.org/rare-diseases/galactosemia,https://clinicaltrials.gov/search?cond=Galactosemia,https://galactosemia.org/,[object Object],[object Object],7,7,3,2,4
gallbladder-cancer-adenocarcinoma,Gallbladder cancer | adenocarcinoma,"Gallbladder adenocarcinoma is a rare, aggressive biliary tract cancer that often presents late because early symptoms mimic benign gallbladder disease and the thin gallbladder wall enables early spread, leaving many patients unresectable at diagnosis. It disproportionately affects older women and is strongly associated with gallstones. Cure is largely limited to early, surgically removable disease, while advanced cases rely on systemic therapy still centered on gemcitabine plus cisplatin with poor prognosis and few effective post progression options, driving demand for better tolerated second line regimens and biomarker guided targeted approaches such as human epidermal growth factor receptor 2 altered disease.",Oncology,Oncology,Rare,5.027,"- More effective, better-tolerated 2L+ regimens post–GemCis progression that meaningfully improve OS vs FOLFOX while reducing grade 3–5 toxicity
- Biomarker-driven HER2/ERBB2-targeted therapies for the ERBB2-altered/HER2+ gallbladder adenocarcinoma subgroup (~14–24%) with limited options
- Less toxic, less clinic-intensive 1L alternatives to durvalumab+GemCis that improve OS/ORR while avoiding the Day 1/8 infusion and IV maintenance burden",https://en.wikipedia.org/wiki/Gallbladder_cancer,https://medlineplus.gov/gallbladdercancer.html,https://platform.opentargets.org/disease/MONDO_0005411,https://omim.org/entry/615619,https://rarediseases.org/mondo-disease/adenocarcinoma-of-gallbladder-and-extrahepatic-biliary-tract/,https://clinicaltrials.gov/search?cond=Gallbladder%20Cancer%20OR%20Gallbladder%20Adenocarcinoma,https://gallbladdercancer.org/,[object Object],[object Object],5,7,6,4,5
epilepsy-generalized-with-febrile-seizures-plus,Epilepsy | generalized with febrile seizures plus,"Genetic epilepsy with febrile seizures plus is an inherited epilepsy spectrum starting with fever triggered seizures in infancy that may persist beyond age 5 and evolve into afebrile generalized or focal seizures. Severity ranges widely and can include Dravet syndrome with prolonged status epilepticus, drug resistant seizures, and developmental regression. Care relies on fever time benzodiazepine prophylaxis and caregiver administered rescue meds, but sedation and ataxia are common and control can be poor. Key unmet needs are safer, simpler prevention and rescue during fevers and mechanism guided therapies across genetically heterogeneous causes.",Neurology,Neurology,Rare,1.705,"- Fever-onset, short-course prophylaxis for children with FS+/GEFS+ who have repetitive fever-triggered seizures to prevent clusters/status during febrile illnesses without daily ASM.
- Safer, easier at-home rescue therapy for prolonged/repeated febrile seizures (ideally non-benzodiazepine).
- Mechanism-/genotype-targeted therapy for severe GEFS+ spectrum (esp. SCN1A-positive/Dravet) to better control refractory seizures and prevent neurocognitive decline/regression.",https://en.wikipedia.org/wiki/Generalized_epilepsy_with_febrile_seizures_plus,https://medlineplus.gov/genetics/condition/genetic-epilepsy-with-febrile-seizures-plus/,https://platform.opentargets.org/disease/MONDO_0018214,https://www.omim.org/phenotypicSeries/PS604233,https://rarediseases.org/mondo-disease/generalized-epilepsy-with-febrile-seizures-plus/,https://clinicaltrials.gov/search?cond=Generalized%20epilepsy%20with%20febrile%20seizures%20plus,https://www.epilepsy.com/,[object Object],[object Object],7,2,1,3,3
glucocorticoid-remediable-aldosteronism,Glucocorticoid-remediable aldosteronism,"Glucocorticoid remediable aldosteronism is a rare inherited endocrine cause of early onset hypertension, driven by a CYP11B1 CYP11B2 gene fusion that puts aldosterone production under adrenocorticotropic hormone control, leading to renal salt retention and often refractory high blood pressure. Patients need lifelong aldosterone suppression but current glucocorticoid and mineralocorticoid receptor blocker approaches are limited by steroid toxicity including iatrogenic Cushing syndrome and growth failure and by hyperkalemia risk. The clinical urgency is preventing early hemorrhagic stroke and ruptured intracranial aneurysms with safer durable control.",Endocrinology,Endocrinology,Rare,3.32,"- Steroid-sparing aldosterone control for childhood-onset/refractory hypertension to avoid chronic glucocorticoid toxicity (iatrogenic Cushing’s, impaired linear growth)
- Pharmacologic reduction of intracranial aneurysm/early hemorrhagic stroke risk beyond routine blood-pressure control
- Better-tolerated long-term aldosterone pathway blockade vs MRAs (less hyperkalemia monitoring; avoid spironolactone endocrine/antiandrogen adverse effects)",https://en.wikipedia.org/wiki/Glucocorticoid_remediable_aldosteronism,https://medlineplus.gov/genetics/condition/familial-hyperaldosteronism/,https://platform.opentargets.org/disease/MONDO_0007781,https://omim.org/entry/103900,https://rarediseases.org/mondo-disease/glucocorticoid-remediable-aldosteronism/,https://clinicaltrials.gov/search?cond=Glucocorticoid-remediable%20aldosteronism,https://primaryaldosteronism.org/,,[object Object],7,4,2,4,3
glutaric-acidemia-type-3,Glutaric acidemia | type 3,"Glutaric acidemia type 3 is a rare inborn error of metabolism caused by SUGCT deficiency leading to isolated glutaric acid buildup. Many patients are asymptomatic and detected on screening, but some experience recurrent severe cyclic vomiting with dehydration and metabolic decompensation including acidosis and occasional hypoglycemia. With no distinctive phenotype and only anecdotal options such as riboflavin or gut directed antibiotics, care lacks reliable long term crisis prevention and rapid rescue strategies for patients who cycle through frequent episodes.",Neurology,Neurology,Rare,1.732,"- Chronic crisis-prevention therapy for GA3 patients with severe cyclic-vomiting episodes that avoids indefinite antibiotic use.
- Rapid-acting rescue therapy to blunt metabolic decompensation during vomiting crises (e.g., dehydration, lethargy, acidosis/ketosis/hypoglycemia).
- SUGCT-pathway disease-modifying therapy for genetically confirmed GA3 to normalize persistent isolated glutaric aciduria (biochemical endpoint).",,https://medlineplus.gov/aminoacidmetabolismdisorders.html,https://platform.opentargets.org/disease/MONDO_0009283,https://www.omim.org/entry/231690,https://rarediseases.org/mondo-disease/glutaric-acidemia-type-3/,https://clinicaltrials.gov/search?cond=Glutaric%20acidemia%20type%203,https://oaanews.org/,,,7,1,0,1,2
granular-corneal-dystrophy,Granular corneal dystrophy,"Rare inherited corneal stromal dystrophy (often starting in childhood) caused by transforming growth factor beta induced gene variants that drive progressive granular deposits leading to glare, photophobia, painful erosions, and eventual vision loss; care is symptomatic with lasers or corneal transplant but there is no cure and deposits commonly recur within a few years after procedures, creating a major need for disease modifying, mutation targeted treatments that prevent reaccumulation and reduce erosion related pain.",Ophthalmology,Ophthalmology,Rare,2.406,"- Mutation-targeted, disease-modifying therapy addressing underlying TGFBI cause (vs symptomatic/supportive care), ideally as a one-time intrastromal treatment.
- Adjunct post-PTK/lamellar keratoplasty anti-recurrence prophylaxis extending recurrence-free survival beyond the ~2.7–3.7 year median window, especially for GCD2 patients who accelerate after corneal injury/surgery.
- Steroid-/antibiotic-sparing, low-burden prevention and pain-control for recurrent corneal erosions in the GCD1 subgroup with frequent erosions.",https://en.wikipedia.org/wiki/Granular_corneal_dystrophy,https://medlineplus.gov/cornealdisorders.html,https://platform.opentargets.org/disease/MONDO_0007377,https://www.omim.org/entry/121900,https://rarediseases.org/rare-diseases/corneal-dystrophies/,https://clinicaltrials.gov/search?cond=Granular%20Corneal%20Dystrophy,https://www.cornealdystrophyfoundation.org/,[object Object],[object Object],7,2,1,3,4
hemoglobin-c-disease,Hemoglobin C disease,"Hemoglobin C disease is an inherited beta globin hemoglobinopathy that causes early red blood cell breakdown and typically mild hemolytic anemia. Many patients are asymptomatic and often identified on newborn screening, but some develop fatigue, jaundice, splenomegaly, and pigment gallstones. Management is largely supportive with limited disease modifying options, leaving unmet need for medical therapies that reduce hemolysis and complications, prevent gallstones, and avoid spleen directed surgery in more severe cases.",Hematology,Hematology,Rare,2.543,"- Anti-hemolytic therapy for symptomatic HbCC to raise hemoglobin and reduce hemolysis markers (bilirubin/reticulocytosis) and fatigue/lightheadedness
- Medical prevention/dissolution of pigment gallstones to reduce incident cholelithiasis and gallbladder-related events
- Non-surgical treatment for clinically significant splenomegaly/hypersplenism to reduce spleen size, improve cytopenias, and avoid splenectomy",https://en.wikipedia.org/wiki/Hemoglobin_C,https://medlineplus.gov/ency/article/000572.htm,https://platform.opentargets.org/disease/MONDO_0016242,https://omim.org/entry/141900#0038,https://rarediseases.org/mondo-disease/hemoglobin-c-disease/,https://clinicaltrials.gov/search?cond=Hemoglobin%20C%20disease,,,[object Object],7,2,1,1,2
hemoglobin-e-disease,Hemoglobin E disease,"Inherited hemoglobinopathy usually detected on newborn screening. Homozygous hemoglobin E is typically benign with microcytosis and few symptoms, but hemoglobin E with beta zero thalassemia can range from mild anemia to life threatening transfusion dependence, with hepatosplenomegaly, jaundice, growth delay, marrow expansion and iron overload. Even without regular transfusions, iron accumulation drives organ complications including thrombosis, osteoporosis and pulmonary hypertension. Care is largely supportive with transfusions and iron chelation, and current chelators such as deferasirox carry significant renal, hepatic and gastrointestinal toxicity plus intensive monitoring, leaving a premium on safer disease modifying and transfusion sparing approaches.",Hematology,Hematology,Common,2.39,"- Transfusion-sparing anemia therapy that reliably raises Hb and reduces/avoids regular transfusions in HbE/β-thalassemia patients meeting initiation criteria (e.g., Hb <7 g/dL) and/or with splenomegaly/extramedullary hematopoiesis.
- Lower-toxicity iron-overload control for NTDT/HbE/β-thalassemia at high iron-risk thresholds (e.g., LIC ≥5 mg Fe/g dw or ferritin ≥800 ng/mL) that avoids deferasirox-class renal/hepatic/GI boxed-warning risks and reduces monitoring burden.
- Complication-prevention therapy for minimally transfused HbE/β-thalassemia/NTDT that reduces end-organ events (e.g., VTE, pulmonary hypertension, osteoporotic fractures, QoL decline) to enable safe non–transfusion-dependence despite low baseline Hb.",https://en.wikipedia.org/wiki/Hemoglobin_E,https://medlineplus.gov/genetics/gene/hbb/,https://platform.opentargets.org/disease/MONDO_0016243,https://omim.org/entry/141900#0071,,https://clinicaltrials.gov/search?cond=Hemoglobin%20E%20disease,https://thalassemia.org/,[object Object],[object Object],7,1,1,1,2
hemoglobin-h-disease,Hemoglobin H disease,"Hemoglobin H disease is an inherited alpha thalassemia that typically presents in early childhood with chronic anemia, hepatosplenomegaly, and jaundice and can progress to fatigue, bone changes, growth delay, and intermittent transfusion needs. Care is largely supportive, and many patients develop iron overload by adulthood even without regular transfusions due to ineffective erythropoiesis and increased iron absorption, creating demand for disease modifying therapies that sustainably raise hemoglobin, reduce transfusion burden, and prevent iron driven complications.",Hematology,Hematology,Rare,2.443,"- Pediatric α‑NTDT/HbH: pediatric‑appropriate therapy delivering sustained Hb response (≥1.0 g/dL Week 12–24) with fatigue/QoL improvement
- Severe non‑deletional HbH (e.g., Constant Spring): transfusion‑/splenectomy‑sparing control achieving ≥50% transfusion‑reduction response (or transfusion independence)
- HbH/NTDT iron overload: non‑chelator approach to prevent/reverse absorption‑driven iron overload (LIC‑targeted) and reduce chelator toxicity/monitoring burden",https://en.wikipedia.org/wiki/Hemoglobin_H_disease,https://medlineplus.gov/genetics/condition/alpha-thalassemia/,https://platform.opentargets.org/disease/MONDO_0013512,https://www.omim.org/entry/613978,https://rarediseases.org/rare-diseases/alpha-thalassemia/,https://clinicaltrials.gov/search?cond=Hemoglobin%20H%20Disease,https://thalassemia.org/,[object Object],[object Object],6,2,1,2,3
hemolytic-uremic-syndrome,Hemolytic-uremic syndrome,"Hemolytic uremic syndrome is a toxin triggered thrombotic microangiopathy that often follows diarrheal infection in children, rapidly causing hemolysis and acute kidney injury that can progress to kidney failure and chronic sequelae. Treatment is largely supportive including dialysis, so major value lies in therapies that halt progression before irreversible renal damage. In atypical disease driven by uncontrolled complement activation, the unmet need is safer, lower burden complement inhibition that avoids today’s REMS constraints and persistent meningococcal infection risk despite vaccination.",Infectious disease,Infectious disease,Ultra-Orphan,3.924,"- Secondary-prevention therapy for STEC-positive diarrheal illness in children <5 to prevent progression to HUS
- Reno-/neuro-protective treatment for established STEC-HUS to reduce dialysis need and long-term kidney/neurologic sequelae
- Safer, lower-burden complement inhibition for aHUS that mitigates meningococcal infection/REMS/vaccination constraints and reduces chronic IV infusion burden",https://en.wikipedia.org/wiki/Hemolytic%E2%80%93uremic_syndrome,https://medlineplus.gov/ency/article/000510.htm,https://platform.opentargets.org/disease/MONDO_0001549,https://www.omim.org/entry/235400,https://rarediseases.org/rare-diseases/stec-hemolytic-uremic-syndrome/,https://clinicaltrials.gov/search?cond=Hemolytic-uremic%20syndrome,https://ahus.org/,[object Object],[object Object],6,6,4,4,7
hereditary-elliptocytosis,Hereditary elliptocytosis,"Hereditary elliptocytosis is an inherited red cell membrane disorder usually found incidentally but sometimes causes hemolytic anemia with jaundice, splenomegaly, and gallstones that can flare with infection or pregnancy. A small severe subset presents in infancy with transfusion dependent hemolysis. Care is largely supportive with folic acid, transfusions, and occasional splenectomy, leaving unmet need for transfusion sparing and spleen sparing approaches that stabilize the underlying membrane skeleton defect and reduce hemolysis.",Hematology,Hematology,Rare,2.596,"- Transfusion-sparing disease-modifying therapy for the <10% HPP/severe-HE subgroup with infancy-onset, transfusion-dependent hemolytic anemia.
- Pharmacologic alternative to splenectomy that reduces symptomatic hemolysis/complications enough to avoid surgery and its infection/thrombosis risks.
- On-demand prophylaxis during hemolysis-triggering periods (especially infections/pregnancy) to prevent hemolytic crises and reduce rescue transfusions.",https://en.wikipedia.org/wiki/Hereditary_elliptocytosis,https://medlineplus.gov/ency/article/000563.htm,https://platform.opentargets.org/disease/MONDO_0017319,https://omim.org/entry/611804,https://rarediseases.org/mondo-disease/elliptocytosis-1/,https://clinicaltrials.gov/search?cond=Hereditary%20elliptocytosis,,,[object Object],7,2,1,1,2
adenoma-hepatocellular,Adenoma | hepatocellular,"Hepatocellular adenoma is a rare benign liver tumor strongly linked to oral contraceptive exposure, often found incidentally but sometimes causing epigastric or right upper quadrant pain. The clinical stakes are hemorrhage and malignant transformation, with risk rising in larger lesions and in men or beta catenin activated disease that imaging cannot reliably identify. Management centers on hormone withdrawal, weight loss, surveillance including close monitoring in pregnancy, and embolization or surgery when risk is high, leaving a need for nonsurgical shrinkage and pregnancy compatible risk reduction.",Gastroenterology,Gastroenterology,Rare,2.306,"- Non-surgical medical shrinkage for large inflammatory hepatocellular adenoma (>5 cm) achieving MRI size reduction within ~6 months to avoid resection/locoregional therapy
- Pregnancy-compatible pharmacotherapy that prevents lesion growth to high-risk sizes and reduces rupture risk during pregnancy
- Systemic therapy that reduces malignant-transformation risk in β-catenin–mutated and/or male hepatocellular adenoma to replace/delay prophylactic surgery",https://en.wikipedia.org/wiki/Hepatocellular_adenoma,,https://platform.opentargets.org/disease/EFO_0000762,https://omim.org/entry/142330,https://rarediseases.org/mondo-disease/hepatocellular-adenoma/,https://clinicaltrials.gov/search?cond=Hepatocellular%20Adenoma,https://www.liverfoundation.org,,,7,2,1,2,3
